trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.7, 'e': 0.29634017552408587}",25,15,-18.591844115694425,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.26196395597719124}",35,8,-28.404248594583066,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.7, 'e': 0.23050017277566726}",25,0,40.103481890421314,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.7, 'e': 0.2019575316342891}",25,17,-24.801305444393847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.7, 'e': 0.17627335931311028}",25,3,18.526454355881416,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.15332901693657497}",20,6,10.794133755839553,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.13296514214941668}",30,5,-15.357614266404209,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.11499560819751187}",20,5,25.883102441914314,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.7, 'e': 0.09921953239924464}",20,9,13.989712161548265,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.085431045655874}",20,16,9.28946467937154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0734268189476528}",25,8,-55.674072370769785,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
45,False,"{'a': 0.7, 'e': 0.06301152942116017}",35,13,38.19254710230238,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.054001551073004084}",30,16,-16.4998947110005,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.04622719339731374}",20,12,11.211138714848325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.03953380638002435}",20,11,18.25061012210401,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.03378203956975234}",20,5,15.51771444461561,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.028847499999999915}",25,13,23.54431234862282,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
